"System Code","System Code"
Extensions,Extensões
"For More Extensions visit our website - https://www.systemcode.com.br","Para Mais Extensões, visite nosso site - https://www.systemcode.com.br"
"Technical Support","Suporte Técnico"
"Open tickets for us here","Abra tickets para nós aqui"
"Information & Communication","Informação & Comunicação"
"More Extensions","Mais Extensões"
Support,Suporte
"Access out ticket system below or by link <a href='%1' target='_blank'>%1</a>","Acesse nosso sistema de suporte abaixo ou através link <a href='%1' target='_blank'>%1</a>"
